"cylinders","displacement","horsepower","weight","acceleration","year","origin","mileage"
4,79,58,1825,18.6,77,2,"1"
8,305,145,3880,12.5,77,1,"0"
8,318,145,4140,13.7,77,1,"0"
8,302,130,4295,14.9,77,1,"0"
6,250,110,3520,16.4,77,1,"0"
6,225,100,3630,17.7,77,1,"0"
6,250,98,3525,19,77,1,"0"
8,400,190,4325,12.2,77,1,"0"
8,351,149,4335,14.5,77,1,"0"
4,97,78,1940,14.5,77,2,"1"
4,97,75,2265,18.2,77,3,"1"
4,98,63,2051,17,77,1,"1"
4,97,67,1985,16.4,77,3,"1"
4,97,78,2190,14.1,77,2,"1"
6,146,97,2815,14.5,77,3,"0"
4,121,110,2600,12.8,77,2,"0"
4,98,66,1800,14.4,78,1,"1"
4,78,52,1985,19.4,78,3,"1"
4,85,70,2070,18.6,78,3,"1"
4,91,60,1800,16.4,78,3,"1"
8,260,110,3365,15.5,78,1,"0"
8,318,140,3735,13.2,78,1,"0"
8,302,139,3570,12.8,78,1,"0"
6,231,105,3535,19.2,78,1,"0"
4,140,88,2720,15.4,78,1,"1"
6,232,90,3210,17.2,78,1,"0"
6,231,105,3380,15.8,78,1,"0"
6,200,85,3070,16.7,78,1,"0"
6,225,110,3620,18.7,78,1,"0"
6,258,120,3410,15.1,78,1,"0"
8,305,145,3425,13.2,78,1,"0"
6,231,165,3445,13.4,78,1,"0"
8,318,140,4080,13.7,78,1,"0"
4,98,68,2155,16.5,78,1,"1"
4,119,97,2300,14.7,78,3,"1"
4,105,75,2230,14.5,78,1,"1"
4,134,95,2515,14.8,78,3,"0"
4,156,105,2745,16.7,78,1,"1"
4,151,85,2855,17.6,78,1,"1"
4,119,97,2405,14.9,78,3,"1"
6,163,125,3140,13.6,78,2,"0"
6,231,115,3245,15.4,79,1,"0"
6,200,85,2990,18.2,79,1,"0"
4,140,88,2890,17.3,79,1,"0"
6,232,90,3265,18.2,79,1,"0"
6,225,110,3360,16.6,79,1,"0"
8,302,129,3725,13.4,79,1,"0"
8,318,135,3830,15.2,79,1,"0"
4,86,65,1975,15.2,79,3,"1"
4,98,80,1915,14.4,79,1,"1"
5,183,77,3530,20.1,79,2,"1"
8,350,125,3900,17.4,79,1,"1"
8,260,90,3420,22.2,79,1,"1"
4,105,70,2200,13.2,79,1,"1"
4,85,65,2020,19.2,79,3,"1"
4,151,90,2670,16,79,1,"1"
6,173,115,2595,11.3,79,1,"1"
6,173,115,2700,12.9,79,1,"1"
4,151,90,2556,13.2,79,1,"1"
4,98,76,2144,14.7,80,2,"1"
4,89,60,1968,18.8,80,3,"1"
4,98,70,2120,15.5,80,1,"1"
4,151,90,2678,16.5,80,1,"1"
4,140,88,2870,18.1,80,1,"1"
4,151,90,3003,20.1,80,1,"1"
6,225,90,3381,18.7,80,1,"0"
4,97,78,2188,15.8,80,2,"1"
4,120,75,2542,17.5,80,3,"1"
4,119,92,2434,15,80,3,"1"
4,86,65,2110,17.9,80,3,"1"
4,156,105,2800,14.4,80,1,"1"
4,85,65,2110,19.2,80,3,"1"
4,90,48,2085,21.7,80,2,"1"
5,121,67,2950,19.9,80,2,"1"
4,146,67,3250,21.8,80,2,"1"
4,97,67,2145,18,80,3,"1"
6,168,132,2910,11.4,80,3,"1"
3,70,100,2420,12.5,80,3,"1"
4,122,88,2500,15.1,80,2,"1"
4,135,84,2490,15.7,81,1,"1"
4,151,84,2635,16.4,81,1,"1"
4,135,84,2385,12.9,81,1,"1"
4,79,58,1755,16.9,81,3,"1"
4,86,64,1875,16.4,81,1,"1"
4,81,60,1760,16.1,81,3,"1"
4,97,67,2065,17.8,81,3,"1"
4,85,65,1975,19.4,81,3,"1"
4,89,62,2050,17.3,81,3,"1"
4,91,68,1985,16,81,3,"1"
4,105,63,2215,14.9,81,1,"1"
4,98,65,2045,16.2,81,1,"1"
4,107,75,2210,14.4,81,3,"1"
4,119,100,2615,14.8,81,3,"1"
4,120,74,2635,18.3,81,3,"1"
4,141,80,3230,20.4,81,2,"1"
6,145,76,3160,19.6,81,2,"1"
6,168,116,2900,12.6,81,3,"1"
6,146,120,2930,13.8,81,3,"1"
6,231,110,3415,15.8,81,1,"0"
8,350,105,3725,19,81,1,"1"
6,200,88,3060,17.1,81,1,"0"
4,112,88,2605,19.6,82,1,"1"
4,112,88,2640,18.6,82,1,"1"
4,112,88,2395,18,82,1,"1"
4,112,85,2575,16.2,82,1,"1"
4,135,84,2525,16,82,1,"1"
4,151,90,2735,18,82,1,"1"
4,105,74,1980,15.3,82,2,"1"
4,91,68,2025,18.2,82,3,"1"
4,91,68,1970,17.6,82,3,"1"
4,105,63,2125,14.7,82,1,"1"
4,98,70,2125,17.3,82,1,"1"
4,107,75,2205,14.5,82,3,"1"
4,108,70,2245,16.9,82,3,"1"
4,91,67,1995,16.2,82,3,"1"
6,262,85,3015,17,82,1,"1"
4,156,92,2585,14.5,82,1,"1"
6,232,112,2835,14.7,82,1,"0"
4,144,96,2665,13.9,82,3,"1"
4,135,84,2370,13,82,1,"1"
4,140,86,2790,15.6,82,1,"1"
4,97,52,2130,24.6,82,2,"1"
4,135,84,2295,11.6,82,1,"1"
4,120,79,2625,18.6,82,1,"1"
4,119,82,2720,19.4,82,1,"1"
